## 一の宮カントリー倶楽部
### 東OUT
| 1 | 4 | 15 | 333 |
| 2 | 5 | 7 | 530 |
| 3 | 3 | 3 | 196 |
| 4 | 4 | 1 | 400 |
| 5 | 4 | 9 | 376 |
| 6 | 3 | 13 | 164 |
| 7 | 4 | 5 | 378 |
| 8 | 4 | 11 | 351 |
| 9 | 5 | 17 | 459 |
### 東IN
| 10 | 5 | 12 | 483 |
| 11 | 3 | 18 | 123 |
| 12 | 4 | 6 | 370 |
| 13 | 4 | 10 | 389 |
| 14 | 5 | 4 | 554 |
| 15 | 4 | 16 | 334 |
| 16 | 4 | 2 | 414 |
| 17 | 3 | 8 | 162 |
| 18 | 4 | 14 | 332 |
### 西OUT
| 1 | 4 | 1 | 389 |
| 2 | 5 | 11 | 504 |
| 3 | 4 | 3 | 378 |
| 4 | 3 | 17 | 167 |
| 5 | 4 | 5 | 359 |
| 6 | 3 | 15 | 157 |
| 7 | 4 | 9 | 331 |
| 8 | 5 | 13 | 462 |
| 9 | 4 | 7 | 352 |
### 西IN
| 10 | 4 | 12 | 315 |
| 11 | 4 | 8 | 339 |
| 12 | 4 | 10 | 389 |
| 13 | 3 | 16 | 155 |
| 14 | 5 | 18 | 469 |
| 15 | 4 | 2 | 406 |
| 16 | 3 | 6 | 175 |
| 17 | 4 | 14 | 373 |
| 18 | 5 | 4 | 621 |
