## 姉ヶ崎カントリー倶楽部
### 東OUT
| 1 | 5 | 13 | 464 |
| 2 | 3 | 9 | 163 |
| 3 | 4 | 15 | 383 |
| 4 | 5 | 11 | 512 |
| 5 | 4 | 1 | 388 |
| 6 | 4 | 17 | 330 |
| 7 | 3 | 5 | 186 |
| 8 | 4 | 3 | 412 |
| 9 | 4 | 7 | 366 |
### 東IN
| 10 | 5 | 12 | 502 |
| 11 | 4 | 14 | 356 |
| 12 | 3 | 4 | 223 |
| 13 | 4 | 16 | 334 |
| 14 | 4 | 2 | 406 |
| 15 | 5 | 8 | 519 |
| 16 | 3 | 10 | 172 |
| 17 | 4 | 6 | 404 |
| 18 | 4 | 18 | 338 |
### 西OUT
| 1 | 4 | 5 | 363 |
| 2 | 5 | 7 | 504 |
| 3 | 4 | 3 | 402 |
| 4 | 3 | 11 | 150 |
| 5 | 5 | 13 | 491 |
| 6 | 4 | 1 | 397 |
| 7 | 3 | 9 | 148 |
| 8 | 4 | 15 | 333 |
| 9 | 4 | 17 | 311 |
### 西IN
| 10 | 4 | 2 | 443 |
| 11 | 5 | 12 | 541 |
| 12 | 3 | 14 | 152 |
| 13 | 4 | 4 | 396 |
| 14 | 4 | 16 | 365 |
| 15 | 4 | 6 | 382 |
| 16 | 5 | 18 | 496 |
| 17 | 3 | 10 | 161 |
| 18 | 4 | 8 | 381 |
